timer,fight_result,has_round_started,is_round_over,Player1_ID,health,x_coord,y_coord,is_jumping,is_crouching,is_player_in_move,move_id,player1_buttons up,player1_buttons down,player1_buttons right,player1_buttons left,player1.player_buttons.A,player1.player_buttons.B,player1.player_buttons.Y,player1.player_buttons.R,player1.player_buttons.L,Player2_ID,Player2 health,Player2 x_coord,Player2 y_coord,Player2 is_jumping,Player2 is_crouching,Player2 is_player_in_move,Player2 move_id,player2_buttons up,player2_buttons down,player2_buttons right,player2_buttons left,player2.player_buttons.A,player2.player_buttons.B,player2.player_buttons.Y,player2.player_buttons.R,player2.player_buttons.L
149,NOT_OVER,True,False,0,176,205,192,False,False,False,0,0,0,0,0,0,0,0,0,0,3,176,307,192,False,False,False,0,0,0,0,0,0,0,0,0,0
148,NOT_OVER,True,False,0,176,205,192,False,False,False,0,0,0,0,0,0,0,0,0,0,3,176,307,192,False,False,False,0,0,0,0,0,0,0,0,0,0
148,NOT_OVER,True,False,0,176,205,192,False,False,True,131073,1,0,1,0,0,1,0,0,0,3,176,307,192,False,False,False,0,0,0,0,0,0,0,0,0,0
148,NOT_OVER,True,False,0,176,205,192,False,False,True,131073,0,0,0,0,0,0,0,0,0,3,176,307,192,False,False,False,0,0,0,0,0,0,0,0,0,0
148,NOT_OVER,True,False,0,176,205,192,False,False,True,131073,0,0,0,0,0,0,0,0,0,3,176,307,192,False,False,False,0,0,0,0,0,0,0,0,0,0
148,NOT_OVER,True,False,0,176,205,192,False,False,True,131073,0,0,1,0,0,0,0,0,0,3,176,307,192,False,False,False,0,0,0,0,0,0,0,0,0,0
148,NOT_OVER,True,False,0,176,205,192,False,False,True,131073,0,1,1,0,0,0,0,0,0,3,176,307,192,False,False,False,0,0,0,0,0,0,0,0,0,0
148,NOT_OVER,True,False,0,176,205,192,False,False,True,131073,0,0,0,0,0,0,0,0,0,3,176,307,192,False,False,False,0,0,0,0,0,0,0,0,0,0
148,NOT_OVER,True,False,0,176,205,192,False,False,True,131073,0,1,0,0,0,0,0,0,0,3,176,307,192,False,False,False,0,0,0,0,0,0,0,0,0,0
148,NOT_OVER,True,False,0,176,205,192,False,False,True,131073,0,1,0,1,0,0,0,0,0,3,176,307,192,False,False,False,0,0,0,0,0,0,0,0,0,0
